image,label,lesion_id,group,path
ISIC_0068849,0,BCN_0001464,BCN_0001464,images/ISIC_0068849.jpg
ISIC_0068458,0,BCN_0002721,BCN_0002721,images/ISIC_0068458.jpg
ISIC_0000011,0,,ISIC_0000011,images/ISIC_0000011.jpg
ISIC_0010585,0,,ISIC_0010585,images/ISIC_0010585.jpg
ISIC_0025080,0,HAM_0002277,HAM_0002277,images/ISIC_0025080.jpg
ISIC_0073251,0,BCN_0002083,BCN_0002083,images/ISIC_0073251.jpg
ISIC_0029274,0,HAM_0003632,HAM_0003632,images/ISIC_0029274.jpg
ISIC_0033882,0,HAM_0006644,HAM_0006644,images/ISIC_0033882.jpg
ISIC_0027077,0,HAM_0003848,HAM_0003848,images/ISIC_0027077.jpg
ISIC_0061014,0,BCN_0001551,BCN_0001551,images/ISIC_0061014.jpg
ISIC_0031444,0,HAM_0006892,HAM_0006892,images/ISIC_0031444.jpg
ISIC_0032005,0,HAM_0000455,HAM_0000455,images/ISIC_0032005.jpg
ISIC_0025988,0,HAM_0001242,HAM_0001242,images/ISIC_0025988.jpg
ISIC_0030908,0,HAM_0004474,HAM_0004474,images/ISIC_0030908.jpg
ISIC_0027587,0,HAM_0003907,HAM_0003907,images/ISIC_0027587.jpg
ISIC_0033163,0,HAM_0004221,HAM_0004221,images/ISIC_0033163.jpg
ISIC_0006651_downsampled,0,,ISIC_0006651_downsampled,images/ISIC_0006651_downsampled.jpg
ISIC_0031353,0,HAM_0000168,HAM_0000168,images/ISIC_0031353.jpg
ISIC_0026184,0,HAM_0002524,HAM_0002524,images/ISIC_0026184.jpg
ISIC_0028772,0,HAM_0007594,HAM_0007594,images/ISIC_0028772.jpg
ISIC_0034090,0,HAM_0005715,HAM_0005715,images/ISIC_0034090.jpg
ISIC_0054541,0,BCN_0004476,BCN_0004476,images/ISIC_0054541.jpg
ISIC_0068865,0,BCN_0000469,BCN_0000469,images/ISIC_0068865.jpg
ISIC_0026640,0,HAM_0006309,HAM_0006309,images/ISIC_0026640.jpg
ISIC_0024340,0,HAM_0001160,HAM_0001160,images/ISIC_0024340.jpg
ISIC_0032601,0,HAM_0001645,HAM_0001645,images/ISIC_0032601.jpg
ISIC_0056276,0,BCN_0000645,BCN_0000645,images/ISIC_0056276.jpg
ISIC_0028551,0,HAM_0000667,HAM_0000667,images/ISIC_0028551.jpg
ISIC_0014778_downsampled,0,,ISIC_0014778_downsampled,images/ISIC_0014778_downsampled.jpg
ISIC_0004715_downsampled,0,,ISIC_0004715_downsampled,images/ISIC_0004715_downsampled.jpg
ISIC_0028770,0,HAM_0005682,HAM_0005682,images/ISIC_0028770.jpg
ISIC_0026781,0,HAM_0002575,HAM_0002575,images/ISIC_0026781.jpg
ISIC_0027453,0,HAM_0000780,HAM_0000780,images/ISIC_0027453.jpg
ISIC_0013561_downsampled,0,MSK4_0010289,MSK4_0010289,images/ISIC_0013561_downsampled.jpg
ISIC_0056855,0,BCN_0001692,BCN_0001692,images/ISIC_0056855.jpg
ISIC_0014174_downsampled,0,MSK4_0011129,MSK4_0011129,images/ISIC_0014174_downsampled.jpg
ISIC_0029465,0,HAM_0006323,HAM_0006323,images/ISIC_0029465.jpg
ISIC_0026007,0,HAM_0003931,HAM_0003931,images/ISIC_0026007.jpg
ISIC_0056782,0,BCN_0000603,BCN_0000603,images/ISIC_0056782.jpg
ISIC_0000471,0,,ISIC_0000471,images/ISIC_0000471.jpg
ISIC_0067790,0,BCN_0003442,BCN_0003442,images/ISIC_0067790.jpg
ISIC_0068357,0,BCN_0002023,BCN_0002023,images/ISIC_0068357.jpg
ISIC_0066868,0,BCN_0001191,BCN_0001191,images/ISIC_0066868.jpg
ISIC_0028164,0,HAM_0006443,HAM_0006443,images/ISIC_0028164.jpg
ISIC_0025640,0,HAM_0000014,HAM_0000014,images/ISIC_0025640.jpg
ISIC_0066405,0,BCN_0001240,BCN_0001240,images/ISIC_0066405.jpg
ISIC_0070577,0,BCN_0001486,BCN_0001486,images/ISIC_0070577.jpg
ISIC_0026461,0,HAM_0007523,HAM_0007523,images/ISIC_0026461.jpg
ISIC_0029759,0,HAM_0001765,HAM_0001765,images/ISIC_0029759.jpg
ISIC_0025532,0,HAM_0000438,HAM_0000438,images/ISIC_0025532.jpg
ISIC_0027221,0,HAM_0004737,HAM_0004737,images/ISIC_0027221.jpg
ISIC_0065881,0,BCN_0004434,BCN_0004434,images/ISIC_0065881.jpg
ISIC_0064948,0,BCN_0000653,BCN_0000653,images/ISIC_0064948.jpg
ISIC_0033329,0,HAM_0004586,HAM_0004586,images/ISIC_0033329.jpg
ISIC_0012135_downsampled,0,,ISIC_0012135_downsampled,images/ISIC_0012135_downsampled.jpg
ISIC_0058110,0,BCN_0005101,BCN_0005101,images/ISIC_0058110.jpg
ISIC_0032054,0,HAM_0005350,HAM_0005350,images/ISIC_0032054.jpg
ISIC_0025852,0,HAM_0001403,HAM_0001403,images/ISIC_0025852.jpg
ISIC_0014745_downsampled,0,,ISIC_0014745_downsampled,images/ISIC_0014745_downsampled.jpg
ISIC_0033327,0,HAM_0005374,HAM_0005374,images/ISIC_0033327.jpg
ISIC_0010261,0,,ISIC_0010261,images/ISIC_0010261.jpg
ISIC_0058124,0,BCN_0003791,BCN_0003791,images/ISIC_0058124.jpg
ISIC_0054525,0,BCN_0003863,BCN_0003863,images/ISIC_0054525.jpg
ISIC_0027330,0,HAM_0001985,HAM_0001985,images/ISIC_0027330.jpg
ISIC_0016063_downsampled,0,,ISIC_0016063_downsampled,images/ISIC_0016063_downsampled.jpg
ISIC_0060581,0,BCN_0000090,BCN_0000090,images/ISIC_0060581.jpg
ISIC_0029267,0,HAM_0000975,HAM_0000975,images/ISIC_0029267.jpg
ISIC_0026459,0,HAM_0002241,HAM_0002241,images/ISIC_0026459.jpg
ISIC_0030102,0,HAM_0005449,HAM_0005449,images/ISIC_0030102.jpg
ISIC_0027555,0,HAM_0003503,HAM_0003503,images/ISIC_0027555.jpg
ISIC_0066130,0,BCN_0003451,BCN_0003451,images/ISIC_0066130.jpg
ISIC_0025135,0,HAM_0000530,HAM_0000530,images/ISIC_0025135.jpg
ISIC_0033386,0,HAM_0002750,HAM_0002750,images/ISIC_0033386.jpg
